model,variable,location,R2
cfsr,ivt,Craig,0.02
cfsr,ivt,Hoonah,0.05
cfsr,ivt,Kasaan,0.02
cfsr,ivt,Klukwan,0.01
cfsr,ivt,Skagway,0.05
cfsr,ivt,Yakutat,0.02
cfsr,pcpt,Craig,0.09
cfsr,pcpt,Hoonah,0.07
cfsr,pcpt,Kasaan,0.0
cfsr,pcpt,Klukwan,0.0
cfsr,pcpt,Skagway,0.02
cfsr,pcpt,Yakutat,0.06
cfsr,freezing_level,Craig,0.1
cfsr,freezing_level,Hoonah,0.05
cfsr,freezing_level,Kasaan,0.11
cfsr,freezing_level,Klukwan,0.03
cfsr,freezing_level,Skagway,0.04
cfsr,freezing_level,Yakutat,0.04
cfsr,uv,Craig,0.0
cfsr,uv,Hoonah,0.03
cfsr,uv,Kasaan,0.0
cfsr,uv,Klukwan,0.0
cfsr,uv,Skagway,0.01
cfsr,uv,Yakutat,0.0
cfsr,snow,Craig,0.04
cfsr,snow,Hoonah,0.01
cfsr,snow,Kasaan,0.05
cfsr,snow,Klukwan,0.04
cfsr,snow,Skagway,0.17
cfsr,snow,Yakutat,0.08
ccsm,ivt,Craig,0.22
ccsm,ivt,Hoonah,0.23
ccsm,ivt,Kasaan,0.22
ccsm,ivt,Klukwan,0.2
ccsm,ivt,Skagway,0.24
ccsm,ivt,Yakutat,0.24
ccsm,pcpt,Craig,0.0
ccsm,pcpt,Hoonah,0.08
ccsm,pcpt,Kasaan,0.0
ccsm,pcpt,Klukwan,0.04
ccsm,pcpt,Skagway,0.03
ccsm,pcpt,Yakutat,0.09
ccsm,freezing_level,Craig,0.27
ccsm,freezing_level,Hoonah,0.16
ccsm,freezing_level,Kasaan,0.26
ccsm,freezing_level,Klukwan,0.11
ccsm,freezing_level,Skagway,0.12
ccsm,freezing_level,Yakutat,0.14
ccsm,uv,Craig,0.03
ccsm,uv,Hoonah,0.02
ccsm,uv,Kasaan,0.04
ccsm,uv,Klukwan,0.08
ccsm,uv,Skagway,0.01
ccsm,uv,Yakutat,0.02
ccsm,snow,Craig,0.07
ccsm,snow,Hoonah,0.0
ccsm,snow,Kasaan,0.02
ccsm,snow,Klukwan,0.05
ccsm,snow,Skagway,0.13
ccsm,snow,Yakutat,0.01
gfdl,ivt,Craig,0.14
gfdl,ivt,Hoonah,0.15
gfdl,ivt,Kasaan,0.16
gfdl,ivt,Klukwan,0.16
gfdl,ivt,Skagway,0.12
gfdl,ivt,Yakutat,0.11
gfdl,pcpt,Craig,0.03
gfdl,pcpt,Hoonah,0.04
gfdl,pcpt,Kasaan,0.0
gfdl,pcpt,Klukwan,0.0
gfdl,pcpt,Skagway,0.0
gfdl,pcpt,Yakutat,0.01
gfdl,freezing_level,Craig,0.48
gfdl,freezing_level,Hoonah,0.64
gfdl,freezing_level,Kasaan,0.49
gfdl,freezing_level,Klukwan,0.62
gfdl,freezing_level,Skagway,0.61
gfdl,freezing_level,Yakutat,0.55
gfdl,uv,Craig,0.0
gfdl,uv,Hoonah,0.0
gfdl,uv,Kasaan,0.01
gfdl,uv,Klukwan,0.02
gfdl,uv,Skagway,0.02
gfdl,uv,Yakutat,0.0
gfdl,snow,Craig,0.0
gfdl,snow,Hoonah,0.0
gfdl,snow,Kasaan,0.01
gfdl,snow,Klukwan,0.09
gfdl,snow,Skagway,0.0
gfdl,snow,Yakutat,0.04
