,date
0,1980-09-16
1,1980-09-29
2,1980-10-01
3,1980-10-02
4,1980-10-03
5,1980-10-05
6,1980-10-06
7,1980-10-07
8,1980-10-08
9,1980-10-16
10,1980-10-18
11,1980-10-28
12,1980-11-16
13,1980-11-25
14,1980-11-27
15,1980-12-07
16,1980-12-08
17,1981-01-14
18,1981-01-15
19,1981-01-19
20,1981-02-14
21,1981-02-21
22,1981-07-02
23,1981-08-04
24,1981-08-21
25,1981-09-06
26,1981-09-07
27,1981-09-09
28,1981-09-11
29,1981-09-15
30,1981-09-30
31,1981-10-01
32,1981-10-15
33,1981-10-18
34,1981-10-25
35,1981-11-04
36,1981-11-05
37,1981-11-28
38,1981-12-17
39,1982-01-09
40,1982-01-13
41,1982-04-20
42,1982-09-30
43,1982-10-09
44,1982-10-10
45,1982-10-12
46,1983-01-07
47,1983-01-11
48,1983-01-14
49,1983-05-20
50,1983-06-02
51,1983-07-22
52,1983-09-20
53,1983-09-24
54,1983-10-03
55,1983-10-25
56,1984-01-01
57,1984-01-02
58,1984-01-04
59,1984-01-27
60,1984-01-30
61,1984-02-02
62,1984-02-04
63,1984-02-07
64,1984-02-19
65,1984-08-09
66,1984-08-25
67,1984-08-26
68,1984-10-01
69,1984-10-04
70,1984-10-08
71,1984-10-22
72,1984-10-23
73,1984-11-21
74,1984-11-22
75,1984-12-06
76,1985-01-02
77,1985-01-16
78,1985-02-14
79,1985-02-27
80,1985-09-23
81,1985-09-25
82,1985-10-04
83,1985-11-13
84,1985-11-14
85,1985-12-05
86,1985-12-18
87,1985-12-24
88,1986-01-25
89,1986-01-26
90,1986-02-24
91,1986-02-25
92,1986-02-26
93,1986-02-27
94,1986-02-28
95,1986-03-20
96,1986-03-21
97,1986-04-07
98,1986-04-19
99,1986-05-21
100,1986-07-02
101,1986-07-27
102,1986-08-23
103,1986-09-23
104,1986-10-02
105,1986-10-03
106,1986-10-05
107,1986-10-06
108,1986-10-14
109,1986-10-15
110,1986-11-25
111,1986-11-29
112,1986-12-06
113,1986-12-26
114,1987-01-08
115,1987-01-09
116,1987-01-17
117,1987-09-10
118,1987-09-27
119,1987-09-29
120,1987-09-30
121,1987-10-01
122,1987-10-02
123,1987-10-24
124,1987-10-28
125,1987-11-02
126,1987-11-06
127,1987-11-26
128,1987-11-28
129,1987-12-24
130,1987-12-25
131,1988-01-22
132,1988-02-19
133,1988-02-20
134,1988-03-18
135,1988-03-19
136,1988-03-31
137,1988-04-09
138,1988-07-01
139,1988-07-15
140,1988-09-11
141,1988-09-28
142,1988-09-29
143,1988-10-06
144,1988-10-08
145,1988-10-19
146,1988-10-21
147,1988-11-29
148,1988-11-30
149,1988-12-04
150,1988-12-08
151,1988-12-15
152,1989-01-12
153,1989-01-20
154,1989-01-25
155,1989-01-26
156,1989-01-28
157,1989-09-20
158,1989-09-21
159,1989-09-22
160,1989-10-03
161,1989-10-07
162,1989-10-09
163,1989-10-17
164,1989-11-01
165,1989-11-02
166,1989-11-03
167,1989-11-28
168,1989-12-02
169,1989-12-13
170,1989-12-22
171,1989-12-25
172,1989-12-30
173,1989-12-31
174,1990-02-27
175,1990-08-19
176,1990-09-04
177,1990-09-22
178,1990-09-23
179,1990-09-24
180,1990-09-28
181,1990-09-29
182,1990-10-08
183,1990-10-23
184,1990-12-06
185,1990-12-07
186,1990-12-26
187,1991-01-17
188,1991-02-01
189,1991-02-06
190,1991-02-19
191,1991-04-12
192,1991-08-03
193,1991-08-20
194,1991-08-25
195,1991-08-26
196,1991-09-05
197,1991-09-23
198,1991-09-25
199,1991-10-09
200,1991-10-13
201,1991-10-14
202,1991-10-19
203,1991-10-30
204,1991-11-11
205,1991-11-15
206,1991-11-30
207,1991-12-01
208,1991-12-03
209,1991-12-04
210,1991-12-15
211,1991-12-20
212,1991-12-21
213,1991-12-25
214,1992-01-09
215,1992-01-19
216,1992-01-26
217,1992-02-25
218,1992-02-26
219,1992-02-28
220,1992-03-10
221,1992-05-03
222,1992-05-04
223,1992-09-07
224,1992-09-18
225,1992-09-19
226,1992-09-28
227,1992-09-29
228,1992-11-10
229,1992-11-13
230,1992-11-14
231,1992-11-26
232,1992-11-29
233,1992-12-13
234,1992-12-23
235,1993-01-18
236,1993-01-29
237,1993-01-31
238,1993-02-04
239,1993-02-05
240,1993-02-26
241,1993-02-27
242,1993-02-28
243,1993-09-23
244,1993-09-26
245,1993-10-03
246,1993-10-16
247,1993-10-26
248,1993-10-29
249,1993-11-02
250,1993-11-14
251,1993-11-19
252,1993-11-25
253,1993-11-26
254,1993-12-19
255,1993-12-23
256,1994-01-17
257,1994-02-28
258,1994-03-12
259,1994-08-22
260,1994-09-12
261,1994-09-13
262,1994-09-15
263,1994-09-18
264,1994-09-21
265,1994-09-22
266,1994-09-24
267,1994-09-25
268,1994-10-03
269,1994-10-04
270,1994-10-16
271,1994-11-03
272,1994-11-10
273,1994-11-11
274,1995-03-11
275,1995-03-17
276,1995-09-10
277,1995-09-11
278,1995-11-04
279,1996-02-05
280,1996-02-10
281,1996-02-17
282,1996-03-10
283,1996-04-05
284,1996-08-22
285,1996-09-25
286,1996-09-26
287,1996-10-07
288,1996-10-27
289,1996-12-04
290,1997-02-16
291,1997-02-23
292,1997-03-25
293,1997-04-02
294,1997-05-11
295,1997-09-23
296,1997-10-15
297,1997-10-16
298,1997-10-25
299,1997-12-01
