start_date,end_date,lat,lon,max_ros,max_ar
2014-09-17,2014-09-20,57.127056,-135.312776,,1.0
2014-09-17,2014-09-20,57.133746,-135.343221,,1.0
2014-09-17,2014-09-20,57.127861,-135.350486,,1.0
2015-01-20,2015-01-22,58.316395,-134.446995,1.0,1.0
2019-10-05,2019-10-07,58.306947,-134.404521,,1.0
2017-10-26,2017-10-28,58.306947,-134.404521,,1.0
2017-09-03,2017-09-05,57.111425,-135.395646,,1.0
2014-01-13,2014-01-15,55.468423,-132.708536,0.0,1.0
2014-01-13,2014-01-15,56.012347,-132.820932,0.0,1.0
2014-01-13,2014-01-15,56.022532,-133.236066,0.0,1.0
2014-01-13,2014-01-15,55.409271,-131.719092,0.0,1.0
2017-10-26,2017-10-28,58.316491,-134.447591,,1.0
2017-10-26,2017-10-28,58.269692,-134.342978,,1.0
2017-10-26,2017-10-28,58.30292,-134.414552,,1.0
2019-10-05,2019-10-07,58.269547,-134.343111,,1.0
2019-10-05,2019-10-07,58.305091,-134.427631,,1.0
2019-10-05,2019-10-07,58.338994,-134.491142,,1.0
2019-10-05,2019-10-07,58.288516,-134.420955,,1.0
2013-05-11,2013-05-13,56.885557,-135.266442,,1.0
2019-09-20,2019-09-22,56.601895,-132.774301,,1.0
2011-10-29,2011-10-31,56.739763,-132.937632,,0.0
2006-10-03,2006-10-05,56.371705,-132.363478,,1.0
2011-08-19,2011-08-21,56.808028,-132.954137,,1.0
2011-08-19,2011-09-23,56.760418,-132.827801,,1.0
1993-10-14,1993-11-01,56.873171,-133.176574,0.0,1.0
1993-10-14,1993-11-01,56.609122,-133.021252,0.0,1.0
2008-11-20,2008-11-22,55.358645,-131.686313,0.0,1.0
2009-09-19,2009-09-21,56.724196,-132.929987,,1.0
2015-08-31,2015-09-11,56.764228,-132.819913,,1.0
2009-09-19,2009-09-22,56.741578,-132.938395,,1.0
2009-09-19,2009-09-22,56.554767,-132.630377,,1.0
2015-09-09,2015-09-12,56.616032,-132.618894,,1.0
2008-12-31,2009-02-01,56.613896,-132.807919,1.0,1.0
2008-12-31,2009-02-01,56.734195,-132.88967,0.0,1.0
2019-10-24,2019-10-26,57.133302,-135.365833,,0.0
2019-12-09,2019-12-21,55.45923,-131.622446,0.0,1.0
2018-12-31,2019-01-02,55.572384,-132.439967,1.0,1.0
2014-01-12,2014-01-14,55.409271,-131.719092,0.0,1.0
2014-09-27,2014-09-29,55.36848,-131.588525,,1.0
2013-12-31,2014-01-16,55.482978,-132.866707,0.0,1.0
2011-09-22,2011-09-24,56.614358,-132.806975,,1.0
2011-11-30,2011-12-02,57.072988,-135.361677,1.0,1.0
2011-11-30,2011-12-02,57.045518,-135.232042,1.0,1.0
2014-01-13,2014-01-15,57.075097,-135.360299,0.0,1.0
2015-08-17,2015-08-19,57.078114,-135.369572,,1.0
2015-08-17,2015-08-19,57.092007,-135.382176,,1.0
2015-08-17,2015-08-19,57.046425,-135.287617,,1.0
2015-08-17,2015-08-19,57.099239,-135.395493,,1.0
2015-08-17,2015-08-19,57.064748,-135.32375,,1.0
2015-08-17,2015-08-19,56.980887,-135.068923,,1.0
2015-08-17,2015-08-19,57.089363,-135.378733,,1.0
2016-09-15,2016-09-17,57.068556,-135.366347,,1.0
2017-08-17,2017-08-19,57.058431,-135.224296,,1.0
2017-09-07,2017-09-09,57.109683,-135.394852,,1.0
2019-09-19,2019-09-21,57.046079,-135.2211,,1.0
2018-10-08,2018-10-10,59.331345,-135.74706,,0.0
2018-10-09,2018-10-11,59.28923,-135.490852,,1.0
2015-11-29,2015-12-01,59.28923,-135.490852,0.0,1.0
2014-09-19,2014-09-21,55.380764,-131.488777,,1.0
2011-09-07,2011-09-09,55.360619,-131.61461,,1.0
2011-09-09,2011-09-12,55.343426,-131.620036,,1.0
2011-08-15,2011-08-17,55.379298,-131.723597,,0.0
2014-10-12,2014-10-14,55.409116,-131.719486,,1.0
2010-08-22,2010-08-27,55.326459,-131.52463,,1.0
2009-02-09,2009-02-11,55.408375,-131.731679,0.0,0.0
2009-11-13,2009-11-15,58.299772,-134.402767,0.0,1.0
2009-11-13,2009-11-15,58.299079,-134.40382,0.0,1.0
2019-10-07,2019-10-09,55.482231,-131.773068,,0.0
1993-02-23,1993-02-25,57.041972,-135.279203,0.0,0.0
2005-11-21,2005-11-23,57.074138,-135.361903,0.0,1.0
2005-11-21,2005-11-23,57.064136,-135.356949,0.0,1.0
2005-11-21,2005-11-23,57.065237,-135.361648,0.0,1.0
1990-10-06,1990-10-12,57.093259,-135.353256,,1.0
1992-11-28,1992-11-30,55.406803,-131.726241,0.0,1.0
2002-07-09,2002-07-21,58.312093,-134.663863,,1.0
2003-10-24,2003-10-26,55.454708,-133.052113,,1.0
2017-02-14,2017-02-16,58.286993,-134.414134,1.0,1.0
